model,query,expected_answer,retrieved_answer,strict_recall,strict_mrr,judged_valid,final_recall
infgrad/stella-base-en-v2,What Is Irmaa For Medicare Part D? ,"IRMAA stands for Income Related Monthly Adjustment Amount and is the extra premium that persons with higher income must pay for Medicare Part B and drug coverage . IRMAA Medicare Part D uses the income on the 2011 tax return in determining whether higher premiums should be charged . The extra premiums range from $ 11.60 to $ 66.60 / mo in 2013 , for incomes over $ 85,000 . ",Medicare IRMAA is a determination formula used to define your Medicare Part B and Part D premium . Medicare and Social Security review your earnings from prior tax returns and determines if you should pay a surcharge to your Part B and D premiums . High income individuals could pay an additional $ 66 for Part D and up to $ 230 more for Part B in 2013 . ,1.0,0.5,False,1.0
infgrad/stella-base-en-v2,What Is The Difference Between Life Assurance And Life Insurance? ,"In Canada , you will see both Life Insurance companies and Life Insurance companies . As mentioned Assurance is UK English and Insurance is American English . Generally you the older Canadian companies tend to use the UK English and the newer use both . If you have further questions , please do not hesitate to contact me . ","In typical parlance life insurance and life assurance policies are the same thing . However there actually IS a difference in the legal definitions . The legal definition of Insurance describes what most people know as Term Insurance . That is a policy that insures the life of a person for a specified length of time or term . It has no cash value other than the death benefit and if you live past the end of the term the policy is ended and there is no cash value to the owner . Life Assurance policies are described much the same as the way we in the business describe Whole Life Insurance . That is the policy remains in force with a death benefit as long as the insured lives . But it also accumulates Cash Value by virtue of the Insurance Company 's investments of their General Fund . Therefore it not only has a `` surrender value '' , but should the insured live beyond the `` maturation date '' , usually 95 , 100 or 120 years , then the accumulated cash value or the `` face value '' , whichever is greater is returned to the owner . Life Assurance policies may be governed by the securities administration depending on how they are set up and must be sold only by persons licensed in securities . ",0.0,0.0,False,0.0
infgrad/stella-base-en-v2,Do Life Insurance Companies Drug Test? ,"Yes , life insurance companies that require a paramed exam will drug test . If you purchase a nonmed policy that does not require an exam , no drug testing will be done . However , they usually ask about drug use on the application . The exception is fully guaranteed issue life insurance ; they do not ask any health or risk questions . ","Yes , ING Life Companies will test for drugs in the presence of blood or urine in order to issue a life insurance policy . The only way to avoid such testing is to get such a small face amount that no blood or urine test is needed , or to apply for a No Exam life insurance policy that does not do those tests . Even then , they will normally ask about illegal drug use on the application . With some companies , the presence of marijuana in drug tests will not affect the rate too much . If the test shows signs of cocaine , meth or other illegal substances , then the policy would most likely be declined . ",1.0,0.3333333333333333,False,1.0
infgrad/stella-base-en-v2,Does Homeowners Insurance Cover Central Air? ,"If the air conditioner is damaged by a covered peril then it may be covered under your homeowners insurance . If it simply breaks down then it is not . For example , lightning strikes your air conditioner , a tree falls on it , a fire destroys it , there is coverage . Your child decides to put a stick in the running fan and damages it or it simply stops working due to age or normal wear and tear , there is no coverage . ",Unless you have an equipment breakdown endorsement or policy with your homeowners coverage your central air unit will not typically be covered . Remember every policy is different . Please read your policy completely to understand the coverage provided and any exclusions that there may be or contact your local agent to have them go over the policy with you . ,0.0,0.0,False,0.0
infgrad/stella-base-en-v2,When To Surrender A Life Insurance Policy? ,"Surrendering a life insurance policy requires careful consideration . The termination of coverage should never occur when you have family members , business partners dependent on your economic value and charities who depend on your contributions . Always have continuing coverage . Keep in mind that surrendering cash value life insurance with gain in the contract will trigger an ordinary income tax event and if you 're receiving Social Security benefits , they may be be taxed as well . ","Yes , you can surrender a life insurance policy at any time . If you have a policy with cash value , there will most likely be a surrender charge during the first years of the policy . This charge will be taken from the cash value , and then you will get the remainder of the cash value , if any . If you surrender term life insurance , there is no cash value , so your coverage will simply end . ",0.0,0.0,True,1.0
infgrad/stella-base-en-v2,How Is Health Insurance Different From Other Types Of Insurance? ,"Well , it is different in that itis designed to dealwith your health care issues and the financial risks posed by illnesses and injury . This is quite different than other types of risk in life that a person needs to address . Your house might get struck by lightning and catch fire . Obviously this is not a health issue like cancer . So , you need to have homeowners insurance to protect your property and its contents . Similarly , you might be involved in a car accident and , while physically unharmed , you are faced with the repair or replacement costs of your vehicle and the liability for harm you may have caused if you were at fault in the auto accident . You would have auto insurance for this risk as health insurance just wo n't pay to have your fender replaced . There are a variety of financial risks that life presents us with and there are a variety of insurance products that address these specific needs . ","That is a great question ! The main difference is that it is designed to help you protect against the expenses of sickness , disease , or injury . Another great difference is that unlike any other type of insurance out there , the Government helps pay for this one . Medicare , Medicaid , and thanks to the subsidies offered through the Affordable Care Act -LRB- Obamacare -RRB- even regular health care is paid for in part by the Government . That 's a nice plus ! Thanks for asking ! ",0.0,0.0,False,0.0
infgrad/stella-base-en-v2,Does life insurance get taxed? ,Simple but short ... normally no ... it is rarely touched by anyone . There are some states with new laws in the making that may change this ... and that is on a case by case basis ... but it will probably take years to shake the insurance company giants to agree to this ... and only if it is the federal government . ,"No , life insurance is not taxed when paid out , in most cases . There are some exceptions , such as when the beneficiary is the estate ; then the life insurance benefit will be subjected to the same taxes as the rest of the estate . If eligible by virtue of amount , life insurance be subject to estate tax . By and large , however , life insurance is not taxed when paid out , making it a very favorable gift to those who receive it . ",0.0,0.0,False,0.0
infgrad/stella-base-en-v2,Does Homeowners Insurance Cover Car In Garage? ,"Auto insurance covers your car . The homeowners policy does not cover your car . Comprehensive coverage is what you need to pay damages to a car involved in a fire . If you have an older car , you might continue to carry comprehensive for just such an occurrence . ",Homeowners Insurance does not cover your auto while in the garage . Homeowners insurance covers the home and not autos . Only your auto insurance policy can protect your auto while in the garage . If you have an auto you do not drive and just store in your garage I would recommend purchasing comprehensive coverage only on your auto . ,0.0,0.0,False,0.0
infgrad/stella-base-en-v2,Who Oversees Life Insurance Companies? ,"States oversee life insurance companies and products through insurance commissioners in their own states . These commissioners generally follow standards set by the NAIC -LRB- National Association of Insurance Commissioners -RRB- . There is little federal regulation of life insurance companies in the United States , although that is an ongoing tug of war . ",There are a few entities that regulate life insurance companies . The first is the federal agency Financial Services Authority or FSA which oversees all financial institutions including insurance companies . Next would be each individual states Department of Insurance who decides if a particular life insurance company is allowed to do business in their state and how they do business in their state . The last entity would be the federal Securities and Exchange Commission or SEC for publically traded companies . ,1.0,0.3333333333333333,False,1.0
infgrad/stella-base-en-v2,"For Health Insurance, Does The IRS Provide A 31 Day Window For All Qualifying Events? ","The Affordable Care Act -LRB- ACA -RRB- legislation allows you to purchase/enroll health insurance coverage at any time during the year -LRB- including outside of Open Enrollment -RRB- if you have a `` qualifying life event . '' A `` Special Enrollment Period '' -LRB- SEP -RRB- is thus created and a you also become eligible for federal subsidies that can substantially lower your premium . This `` loss of essential coverage '' also allows you to choose among all available Marketplace plans . You have 60 days from the date of the event to choose and apply for coverage . Some of the most common SEP situations are divorce , having a baby -LRB- the newborn is eligible -RRB- , losing employer-provided coverage , reaching age 26 while on parent 's plan , becoming a US citizen , and moving to a different service area . Important : Answer was provided by Edward Harris , one of the leading US health insurance brokers with more than 35 years of experience . His award-winning website , majormedicalhealth.com , provides free online quotes to consumers , accompanied by the lowest available rates provided by major US healthcare companies . ","In the context of health insurance , qualifying events are certain life events that meet criteria established by the IRS and now , also Health and Human Services , that would allow an individual to enroll in individual health insurance outside of the normal annual open enrollment period established under the Affordable Care Act -LRB- ObamaCare -RRB- . Common examples of qualifying events are ; 1 -RRB- Loss of health insurance coverage through your employer 2 -RRB- Expiration of your health insurance coverage through a former employer under the Federal COBRA regulations or state continuation of coverage provisions 3 -RRB- Loss of coverage under a government sponsored plan , including Medicaid or CHIP 4 -RRB- Loss of Minimum Essential Coverage -LRB- e.g. - state high risk pool , student health plan -RRB- 5 -RRB- Birth or adoption of a child or establishing foster care or legal guardianship of a child 6 -RRB- Marriage 7 -RRB- No longer an eligible dependent -LRB- e.g. - child turning age 26 -RRB- 8 -RRB- Divorce from a policyholder 9 -RRB- Termination of a pre-Affordable Care Act individual plan during 2014 10 -RRB- Moving to a new area that offers different plan options or outside of an HMO service area 11 -RRB- Employer bankruptcy resulting in loss of coverage for retirees 12 -RRB- Return from active military service 13 -RRB- Release from incarceration 14 -RRB- Unintentional error or enrollment/disenrollment in a health insurance marketplace plan is unintentional or erroneous 15 -RRB- Newly eligible/ineligible for exchange subsidies or premium tax credit or cost-sharing reductions 16 -RRB- A material violation committed by the health plan You should operate under the assumption that you have 60-days after such a `` Qualifying Life Event '' to complete your application for new health insurance coverage . ",0.0,0.0,True,1.0
infgrad/stella-base-en-v2,What Does Combined Single Limit Mean In Auto Insurance? ,"Most auto insurance is written with `` split limits '' such as 250/100/50 meaning which would mean you get $ 250,000 of coverage for injury coverage total , $ 100,000 per person maximum and $ 50,000 for the property you 've damaged . In other words if one single person is injured and has medical bills that add up to $ 125,000 they can only get a max of $ 100,000 even though the overall limit is still not exceeded . A combined single limit could be for example $ 500,000 which means all damages are covered under that one limit on a first come first served basis . ","Combined single limit is essentially a pool of money from which liability claims are paid . For example , if someone with a policy that has a combined single limit is in an accident with multiple people and the individual with the combined single limit policy is at fault and pursued legally for damages , any damages rewarded are paid out of the total pool . So , if the combined single limit is $ 500,000 , then damages will be paid from this $ 500,000 pool and no damages rewarded above $ 500,000 will be covered by the policy . ",0.0,0.0,False,0.0
